Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,321.469020,-90.487576,0.000000,bottom
C2,0.1u,C_0805_2012Metric,311.066000,-97.858000,0.000000,bottom
C3,0.1u,C_0805_2012Metric,295.910000,-91.840000,270.000000,bottom
C4,0.1u,C_0805_2012Metric,315.280000,-82.725500,90.000000,bottom
C5,4.7u,C_0805_2012Metric,352.925296,-78.581316,180.000000,bottom
C6,1u,C_0805_2012Metric,321.469020,-88.106324,0.000000,bottom
C7,22p,C_0603_1608Metric,307.594000,-98.425000,90.000000,bottom
C8,22p,C_0603_1608Metric,301.752000,-98.425000,270.000000,bottom
D1,1N4148,D_SOD-123,19.050016,-9.525008,90.000000,bottom
D2,1N4148,D_SOD-123,57.150048,-9.525008,90.000000,bottom
D3,1N4148,D_SOD-123,76.200064,-9.525008,90.000000,bottom
D4,1N4148,D_SOD-123,95.250080,-9.525008,90.000000,bottom
D5,1N4148,D_SOD-123,314.325264,-9.525008,90.000000,bottom
D6,1N4148,D_SOD-123,333.375280,-9.525008,90.000000,bottom
D7,1N4148,D_SOD-123,352.425296,-9.525008,90.000000,bottom
D8,1N4148,D_SOD-123,361.950304,-9.525008,90.000000,bottom
D9,1N4148,D_SOD-123,382.190946,-9.525008,90.000000,bottom
D10,1N4148,D_SOD-123,379.809694,-9.525008,90.000000,bottom
D11,1N4148,D_SOD-123,419.100352,-9.525008,90.000000,bottom
D12,1N4148,D_SOD-123,19.050016,-47.625040,90.000000,bottom
D13,1N4148,D_SOD-123,38.100032,-47.625040,90.000000,bottom
D14,1N4148,D_SOD-123,57.150048,-47.625040,90.000000,bottom
D15,1N4148,D_SOD-123,76.200064,-47.625040,90.000000,bottom
D16,1N4148,D_SOD-123,314.325264,-47.625040,90.000000,bottom
D17,1N4148,D_SOD-123,333.375280,-47.625040,90.000000,bottom
D18,1N4148,D_SOD-123,352.425296,-47.625040,90.000000,bottom
D19,1N4148,D_SOD-123,361.950304,-47.625040,90.000000,bottom
D20,1N4148,D_SOD-123,381.000320,-47.625040,90.000000,bottom
D21,1N4148,D_SOD-123,400.050336,-47.625040,90.000000,bottom
D22,1N4148,D_SOD-123,419.100352,-47.625040,90.000000,bottom
D23,1N4148,D_SOD-123,28.575024,-66.675056,90.000000,bottom
D24,1N4148,D_SOD-123,47.625040,-66.675056,90.000000,bottom
D25,1N4148,D_SOD-123,66.675056,-66.675056,90.000000,bottom
D26,1N4148,D_SOD-123,85.725072,-66.675056,90.000000,bottom
D27,1N4148,D_SOD-123,314.325264,-66.675056,90.000000,bottom
D28,1N4148,D_SOD-123,333.375280,-66.675056,90.000000,bottom
D29,1N4148,D_SOD-123,352.425296,-66.675056,90.000000,bottom
D30,1N4148,D_SOD-123,361.950304,-66.675056,90.000000,bottom
D31,1N4148,D_SOD-123,381.000320,-66.675056,90.000000,bottom
D32,1N4148,D_SOD-123,401.240962,-66.675056,90.000000,bottom
D33,1N4148,D_SOD-123,398.859710,-66.675056,90.000000,bottom
D34,1N4148,D_SOD-123,114.300096,-9.525008,90.000000,bottom
D35,1N4148,D_SOD-123,142.875120,-9.525008,90.000000,bottom
D36,1N4148,D_SOD-123,161.925136,-9.525008,90.000000,bottom
D37,1N4148,D_SOD-123,180.975152,-9.525008,90.000000,bottom
D38,1N4148,D_SOD-123,200.025168,-9.525008,90.000000,bottom
D39,1N4148,D_SOD-123,228.600192,-9.525008,90.000000,bottom
D40,1N4148,D_SOD-123,247.650208,-9.525008,90.000000,bottom
D41,1N4148,D_SOD-123,266.700224,-9.525008,90.000000,bottom
D42,1N4148,D_SOD-123,285.750240,-9.525008,90.000000,bottom
D43,1N4148,D_SOD-123,95.250080,-47.625040,90.000000,bottom
D44,1N4148,D_SOD-123,114.300096,-47.625040,90.000000,bottom
D45,1N4148,D_SOD-123,133.350112,-47.625040,90.000000,bottom
D46,1N4148,D_SOD-123,152.400128,-47.625040,90.000000,bottom
D47,1N4148,D_SOD-123,171.450144,-47.625040,90.000000,bottom
D48,1N4148,D_SOD-123,190.500160,-47.625040,90.000000,bottom
D49,1N4148,D_SOD-123,209.550176,-47.625040,90.000000,bottom
D50,1N4148,D_SOD-123,228.600192,-47.625040,90.000000,bottom
D51,1N4148,D_SOD-123,247.054895,-47.625040,90.000000,bottom
D52,1N4148,D_SOD-123,249.436147,-47.625040,90.000000,bottom
D53,1N4148,D_SOD-123,285.750240,-47.625040,90.000000,bottom
D54,1N4148,D_SOD-123,104.775088,-66.675056,90.000000,bottom
D55,1N4148,D_SOD-123,123.825104,-66.675056,90.000000,bottom
D56,1N4148,D_SOD-123,142.875120,-66.675056,90.000000,bottom
